CanonicalJoint,OpenUSD,BVH,ASF/AMC,VRM,HAnim,SMPL,SMPL-X,Mixamo,UEMannequin,UnityMecanim,Godot,SecondLife,Roblox,Momentum,ANNY
LeftPinkyIntermediate,LPinkyMid,-,-,leftLittleIntermediate,l_carpal_proximal_interphalangeal_5,-,LPinkyMid,LeftHandPinky2,pinky_02_l,LeftLittleIntermediate,LeftLittleIntermediate,mHandPinky2Left,-,l_pinky2,finger5-2.L
LeftPinkyDistal,LPinkyTip,-,-,leftLittleDistal,l_carpal_distal_interphalangeal_5,-,LPinkyTip,LeftHandPinky3,pinky_03_l,LeftLittleDistal,LeftLittleDistal,mHandPinky3Left,-,l_pinky3,finger5-3.L
LeftPinkyTip,LPinkyEnd,-,-,-,site l_carpal_distal_phalanx_5,-,LPinkyEnd,LeftHandPinky4,-,-,-,-,-,l_pinky_null,-
RightShoulder,RShldr,RightShoulder,rclavicle,rightShoulder,r_acromioclavicular,RShldr,RShldr,RightShoulder,Clavicle_R,RightShoulder,RightShoulder,mCollarRight/R_CLAVICLE,RightUpperArm,r_clavicle,clavicle.R
RightUpperArm,RArm,RightArm,rhumerus,rightUpperArm,r_shoulder,RArm,RArm,RightArm,UpperArm_R,RightUpperArm,RightUpperArm,mShoulderRight/R_UPPER_ARM,-,r_uparm,upperarm01.R
RightLowerArm,RElbow,RightForeArm,rradius,rightLowerArm,r_elbow,RForeArm,RForeArm,RightForeArm,LowerArm_R,RightLowerArm,RightLowerArm,mElbowRight/R_LOWER_ARM,RightLowerArm,r_lowarm,lowerarm01.R
RightHand,RHand,RightHand,rwrist,rightHand,r_radiocarpal,RHand,RHand,RightHand,Hand_R,RightHand,RightHand,mWristRight/R_HAND,RightHand,r_wrist,wrist.R
RightThumbMetacarpal,RThumb,-,rthumb,rightThumbMetacarpal,r_carpometacarpal_1,-,RThumb,RightHandThumb1,thumb_01_r,RightThumbProximal,RightThumbMetacarpal,mHandThumb1Right,-,r_thumb0,finger1-1.R
RightThumbProximal,RThumbMid,-,-,rightThumbProximal,r_metacarpophalangeal_1,-,RThumbMid,RightHandThumb2,thumb_02_r,RightThumbIntermediate,RightThumbProximal,mHandThumb2Right,-,r_thumb1,finger1-2.R
RightThumbDistal,RThumTip,-,-,rightThumbDistal,r_carpal_interphalangeal_1,-,RThumbTip,RightHandThumb3,thumb_03_r,RightThumbDistal,RightThumbDistal,mHandThumb3Right,-,r_thumb2,finger1-3.R
RightThumbTip,RThumEnd,-,-,-,site r_carpal_distal_phalanx_1,-,RThumbEnd,RightHandThumb4,-,-,-,-,-,r_thumb_null,-
RightIndexMetacarpal,-,-,-,-,r_carpometacarpal_2,-,-,-,index_metacarpal_r,-,-,-,-,-,metacarpal1.R
RightIndexProximal,RIndex,-,rindex,rightIndexProximal,r_metacarpophalangeal_2,-,RIndex,RightHandIndex1,index_01_r,RightIndexProximal,RightIndexProximal,mHandIndex1Right,-,r_index1,finger2-1.R
RightIndexIntermediate,RIndexMid,-,-,rightIndexIntermediate,r_carpal_proximal_interphalangeal_2,-,RIndexMid,RightHandIndex2,index_02_r,RightIndexIntermediate,RightIndexIntermediate,mHandIndex2Right,-,r_index2,finger2-2.R
